661	9858
661	33062
661	18473
661	7499
661	22288
661	28409
661	2584
661	28633
723	30304
723	30529
723	10644
723	30300
947	36698
947	24667
947	6740
947	7869
1004	22392
1004	15249
1004	19602
1004	35631
1488	26086
1488	29033
1488	36365
1488	13459
1488	19158
1488	17050
1544	16808
1544	10410
1544	2221
1544	40655
1544	26640
1544	23826
2070	11692
2070	32076
2070	20782
2070	37715
2070	19229
2221	16808
2221	10410
2221	23826
2221	40655
2584	9858
2584	33062
2584	18473
2584	7499
2584	22288
2584	28409
2584	28633
3278	29934
3278	6365
3278	24598
3278	20901
4472	21337
4472	12186
4472	30139
4472	20430
5978	23187
5978	29156
5978	39277
5978	22718
6365	20901
6365	29934
6365	24598
6740	36698
6740	24667
6740	7869
7499	9858
7499	18473
7499	22288
7499	28409
7499	28633
7869	36698
7869	24667
9835	23234
9835	40360
9835	39849
9835	23498
9835	23211
9835	27572
9835	20918
9858	28409
9858	28633
9858	33062
9858	18473
10410	16808
10410	26640
10410	23826
10410	40655
10644	30304
10644	30529
10644	30300
11692	32076
11692	19229
11692	20782
12186	21337
12186	30139
12186	20430
13459	26086
13459	29033
13459	36365
13459	19158
13459	17050
15249	22392
15249	19602
15249	35631
16808	26640
16808	23826
16808	40655
17050	19158
17050	26086
18439	37080
18439	21962
18439	19506
18439	26909
18473	22288
18473	28409
18473	28633
18473	33062
19158	29033
19158	36365
19158	26086
19229	37715
19229	32076
19229	20782
19506	37080
19506	21962
19506	20220
19506	26909
19602	22392
19602	35631
20220	37080
20220	21962
20220	26909
20430	21337
20430	30139
20782	37715
20782	32076
20901	29934
20901	24598
20918	40360
20918	39849
20918	23498
20918	23211
20918	27572
21337	30139
21962	37080
21962	26909
22288	28409
22288	28633
22288	33062
22392	35631
22718	23187
22718	29156
22718	39277
23187	29156
23187	39277
23211	40360
23211	23498
23211	23234
23211	27572
23234	40360
23234	39849
23234	23498
23234	27572
23498	40360
23498	39849
23498	27572
23826	40655
24598	29934
24667	36698
26086	29033
26086	36365
26640	40655
26909	37080
27572	40360
27572	39849
28409	28633
28409	33062
28633	33062
29033	36365
29156	39277
30300	30304
30300	30529
30304	30529
32076	37715
39849	40360
